count,township,county,latitude,longitude,state
3,"Grimes Station",,39.2791,-78.1257,VA
87,Washington," D.C.",0,0,
3,Whitehall,,43.5556,-73.4037,NY
5,Bryantsville,"Garrard County",37.713,-84.6684,KY
1,"Horn Lake","DeSoto County",0,0,MS
3,,Vicksburg,32.3526,-90.8779,MS
10,"King William Court House",,37.6925,-77.0142,VA
4," M.D.","Mount Washington",0,0,"Bullett County"
1,"Pleasant Grove",,40.0747,-80.3546,PA
7,Boston,,42.3584,-71.0598,MA
1,Goldsboro,,39.034,-75.7866,MD
4,,"Christian County",36.8656,-87.4886,KY
1,Milledgeville,"Lincoln County",37.5214,-84.8137,KY
22,"Friars Point","Coahoma County",34.3676,-90.6375,MS
2,Norwich,,41.5243,-72.0759,CT
4,,"Walker County",34.7048,-85.2819,GA
31,Philadelphia,,39.9523,-75.1638,PA
1," Esq",Memphis,0,0,"Shelby County"
1,Woodbine,"Cape May County",39.2418,-74.8152,NJ
1,"Union Port",,40.3581,-80.8456,OH
1,"Clarks Mills","Oneida County",43.1182,-73.5691,NY
1,Columbus,,39.9612,-82.9988,OH
15,Buntyn,"Shelby County",35.1159,-89.9718,TN
53," Johnson & Co.",,0,0,"Jefferson County"
1,Uniontown,,39.9001,-79.7164,PA
6,"Marlboro Forest","Prince George's County",38.8159,-76.7497,MD
2,,unknown,0,0,unknown
21,"Philadelphia [PA F. R. Association]",,39.9523,-75.1638,PA
5,Amsterdam,,42.9387,-74.1882,NY
5,Brunswick,,43.9145,-69.9653,ME
1,Weatogue,,41.8437,-72.8284,CT
1,Buntyn,"Shelby County",35.1761,-90.0428,TN
26,,"Lake Providence County (East Carrol Parish)",32.8043,-91.1701,LA
2,"Oak Grove","Prince George's County",38.8743,-76.7766,MD
3,Laydensville,"Montgomery County",39.2112,-77.1427,MD
27,"Brown's Landing",,34.9687,-92.5856,AR
51,,"Coahoma County",34.2001,-90.5709,MS
19,Columbia,"Chicot County",33.1283,-93.1778,AR
1,,"Shelby County",38.1778,-85.2308,KY
2,Winchester,,39.3167,-78.3842,WV
29,"New York",,40.7144,-74.006,NY
12,Memphis,"Shelby County",35.1761,-90.0428,TN
1,"Omaha Territory",,41.2524,-95.998,NE
1,,"Shelby County",38.2131,-85.2237,KY
1,"Hoosic Falls",,42.9012,-73.3515,NY
9,Appleton,,44.2619,-88.4154,WI
26,,"Chicot County",33.335,-91.2837,AR
1,,"Lauderdale County",38.6767,-84.3302,AL
3,Abbingdon,"Knox County",40.8045,-90.4018,IL
1,"Wisewell Barracks (Industrial school)",,38.8953,-77.0218,
7,Perryville,"Boyle County",37.6499,-84.9516,KY
1,Vineland,,39.4862,-75.0257,NJ
4,"Fort Baker (Washington D.C.)",,38.8622,-76.9642,MD
2,Mechanicsville,,42.9029,-73.6873,NY
7,Georgetown,"Scott County",38.2126,-84.5583,KY
11,,"Henderson County",37.8393,-87.5899,KY
1,,"Boyle County",37.837,-84.5908,KY
8,"Gauley Bridge",,38.1676,-81.1948,WV
34,,"Prince George's County",38.8159,-76.7497,MD
1,"Clarksburgh (ed note: Clarksville?)",Howard,39.2064,-76.9433,MD
3,Guilford,,41.284,-72.6818,CT
5,"Campbell Freedmen's Hospital (Washington"," D.C.)",0,0,
2,,"Victoria County",28.799,-97.0038,TX
17,Providence,,41.824,-71.4128,RI
1,Methuen,"Essex County",42.7262,-71.1909,MA
9,,"Marshall County",34.798,-89.4701,MS
1,Zanesville,,39.9403,-82.0132,OH
3,Nicholasville,"Jessamine County",37.8843,-84.5722,KY
1,Syracuse,,43.0481,-76.1474,NY
2,,"Nelson County",37.8101,-85.4668,KY
3,Lyons,,43.0642,-76.9902,NY
63,Petersburg,,37.2279,-77.4019,VA
4,Parkersburg,,39.2636,-81.5615,WV
2,Culpeper,"Culpeper County",38.4732,-77.9967,VA
1,Lovel,,44.127,-70.892,ME
8," Jr.",,0,0,"Tunica County"
12,Richmond,,37.543,-77.4691,VA
5,"Mattox Landing (likely)",,38.1993,-77.0072,VA
10,Athens,,41.9573,-76.518,PA
1,Summerville,,40.5743,-74.6099,NJ
5,Hanley,"Jessamine County",37.837,-84.5908,KY
1,Burkeville,,37.1877,-78.2014,VA
2,,"Hardin County",37.7069,-85.865,KY
6,Jasper,,38.3914,-86.9311,IN
39,"Wisewell Barracks",,38.8953,-77.0218,
1,,"Mecklenburg County",36.6676,-78.3875,VA
14,Standford,"Lincoln County",37.533,-84.6621,KY
1,"Grand Rapids","Kent County",42.9705,-85.668,MI
28,"Laconia Landing","Desha County",33.6087,-91.2068,AR
